,Name,Address,Line,ZipCode
80,Mt Vernon Sq 7th St-Convention Center,"700 M STREET NW, WASHINGTON, DC","green, yellow",20001
81,U Street/African-Amer Civil War Memorial/Cardozo,"1260 U STREET NW, WASHINGTON, DC",green,20009
82,Union Station,"605 1ST STREET NE, WASHINGTON, DC",red,20002
83,Congress Heights,"1300 ALABAMA AVENUE SE, WASHINGTON, DC",green,20032
84,Naylor Road,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",green,20748
85,Suitland,"4500 SILVER HILL ROAD, SUITLAND, MD",green,20746
86,Dunn Loring-Merrifield,"2700 GALLOWS ROAD, VIENNA, VA",orange,22180
87,Vienna/Fairfax-GMU,"2900 NUTLEY ST., FAIRFAX, VA",orange,22031
88,Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,20007
89,Pentagon City,"1250 SOUTH HAYES ST., ARLINGTON, VA","blue, yellow",22202
90,Federal Triangle,"350 12TH STREET NW, WASHINGTON, DC","blue, orange, silver",20005
91,Reston Town Center,"12023-A SUNSET HILLS RD, RESTON, VA 20190",silver,20190
92,Herndon,"585-A HERNDON PKY, HERNDON, VA 20170",silver,20170
93,Innovation Center,"13747-A SUNRISE VALLEY DR, HERNDON, VA 20171",silver,20171
94,Washington Dulles International Airport,"44920 SAARINEN CIR, DULLES, VA 20166",silver,20166
95,Loudoun Gateway,"22505-A LOCK RIDGE RD, STERLING, VA 20166",silver,
96,Ashburn,"43625-A CROSON LN, ASHBURN, VA 20147",silver,
97,Potomac Yard,"2900 POTOMAC GREENS DRIVE, ALEXANDRIA, VA 22314","blue, yellow",22301
